pair,location,state,basis_today,basis_d1,basis_w1,basis_m1,mean_3y,mean_5y,min_5y,max_5y,pctile_today,n_obs_5y
soja-b3,Ubiratã/PR,PR,-11.08,-11.99,-11.15,-10.48,-13.25,-11.36,-39.80,14.00,54.95,1203
soja-b3,Cândido Mota/SP,SP,-8.08,-9.99,-8.15,-10.48,-10.41,-9.18,-40.79,19.26,54.00,1200
soja-b3,Oeste da Bahia/BA,BA,-4.20,-5.11,1.85,-4.98,-11.21,-11.01,-43.54,15.38,69.78,1198
soja-b3,Não-Me-Toque/RS,RS,-10.08,-11.99,-7.15,-12.48,-9.81,-7.33,-37.79,19.00,41.12,1194
soja-b3,Rio Verde/GO,GO,-11.08,-11.99,-8.15,-12.48,-15.55,-15.53,-47.79,9.00,64.91,1194
soja-b3,Pato Branco/PR,PR,-8.58,-9.49,-8.65,-7.98,-9.86,-8.09,-37.29,16.00,52.03,1184
soja-b3,Palma Sola/SC,SC,-8.58,-9.49,-8.65,-8.48,-9.76,-7.67,-36.29,18.00,51.14,1181
soja-b3,São Gabriel do Oeste/MS,MS,-7.08,-7.49,-4.65,-7.48,-12.21,-11.51,-45.20,14.80,59.25,1173
soja-b3,Maracaju/MS,MS,-6.08,-4.99,-1.90,-5.48,-10.47,-9.87,-42.79,17.95,57.59,1172
soja-b3,Campo Grande/MS,MS,-6.08,-5.49,-3.65,-6.48,-10.67,-10.05,-43.79,17.57,57.59,1172
soja-b3,Porto Paranaguá/PR,PR,12.42,10.51,15.35,13.52,5.66,6.75,-25.30,31.42,65.70,1172
soja-b3,Rio do Sul/SC,SC,-7.08,-11.99,-7.15,-7.48,-7.93,-6.22,-35.34,17.56,48.58,1165
soja-b3,Porto Rio Grande/RS,RS,12.42,10.76,16.35,12.52,6.60,7.57,-25.30,30.42,67.81,1165
soja-b3,Sorriso/MT,MT,-11.38,-15.49,-11.95,-12.18,-17.24,-17.55,-54.08,17.08,68.39,1161
soja-b3,Luís Eduardo Magalhães/BA,BA,-6.58,-8.49,-1.15,-5.48,-13.53,-12.94,-45.20,15.32,66.47,1160
soja-b3,Marechal Cândido Rondon/PR,PR,-11.08,-11.99,-11.15,-10.48,-13.35,-11.41,-39.79,14.00,55.31,1159
soja-b3,Campo Novo do Parecis/MT,MT,-9.08,-11.99,-11.86,-14.48,-19.64,-19.74,-52.79,20.39,76.94,1158
soja-b3,Tangará da Serra/MT,MT,-7.08,-10.99,-9.86,-12.48,-17.67,-17.91,-50.79,22.39,77.55,1158
soja-b3,Eldorado/MS,MS,-15.08,-15.99,-15.15,-14.48,-16.06,-14.47,-43.29,10.70,52.33,1158
soja-b3,Porto Santos/SP,SP,6.92,6.01,8.85,9.52,1.90,3.15,-27.76,35.34,65.79,1140
soja-b3,Jataí/GO,GO,-11.08,-11.99,-8.15,-12.48,-15.48,-15.37,-47.79,9.00,64.19,1131
soja-b3,Castro/PR,PR,-1.08,-1.99,1.85,-2.48,-0.76,1.13,-26.79,27.92,49.24,1121
soja-b3,Rondonópolis/MT,MT,-0.18,-2.09,-3.76,0.72,-7.11,-7.79,-43.29,27.30,70.88,1116
soja-b3,Itiquira/MT,MT,-3.18,-5.09,-6.76,-3.28,-10.43,-10.88,-46.79,23.40,70.61,1116
soja-b3,Alto Garças/MT,MT,-0.68,-2.59,-4.26,-2.28,-9.11,-9.83,-45.79,22.58,74.82,1116
soja-b3,Primavera do Leste/MT,MT,-1.68,-3.59,-5.26,-4.28,-11.18,-11.48,-47.09,22.30,77.24,1116
soja-b3,Brasília/DF,DF,-6.81,-6.81,-6.81,0.52,-12.75,-12.46,-43.92,17.11,65.77,1075
soja-b3,Dourados/MS,MS,-0.99,-0.99,-0.15,-3.99,-8.96,-8.10,-41.71,22.19,66.21,956
soja-b3,Ponta Porã/MS,MS,-2.99,-2.99,-2.65,-4.99,-9.78,-8.87,-40.71,17.82,65.38,956
soja-b3,Sidrolândia/MS,MS,-4.99,-4.99,-3.15,-4.99,-10.48,-9.67,-42.79,19.69,60.10,955
soja-b3,Chapadão do Sul/MS,MS,-9.99,-9.99,-5.15,-6.99,-10.78,-10.41,-47.92,17.80,49.40,923
soja-b3,Londrina/PR,PR,-8.89,-8.89,-8.89,-8.89,-13.80,-10.53,-39.79,15.00,51.65,790
soja-b3,Nonoai/RS,RS,-10.08,-11.99,-7.15,-12.48,-9.42,-9.67,-26.74,6.22,50.33,755
soja-b3,Machado/MG,MG,-6.29,-6.29,-6.29,-6.29,-9.80,-11.62,-37.21,14.22,74.37,476
soja-b3,Ponta Grossa/PR,PR,-21.06,-21.06,-21.06,-21.06,,6.72,-30.09,28.62,5.58,394
soja-b3,Cascavel/PR,PR,-32.17,-32.17,-32.17,-32.17,,-4.28,-39.80,15.00,2.61,383
soja-b3,Panambi/RS,RS,-21.42,-21.42,-21.42,-21.42,,1.18,-22.89,19.00,2.67,374
soja-b3,Amambai/MS,MS,-12.28,-12.28,-12.28,-12.28,,1.11,-17.87,13.58,1.66,302
soja-b3,Paranaguá/PR,PR,11.01,11.01,15.35,16.01,8.45,8.48,-11.18,24.77,60.07,288
