date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),BA,,preco,2.675,"2,6750",R$/Litro,price,BRL,litro,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),BA,,variacao_pct,2.79,"+2,79",%,change_pct,,pct,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),Brasil,,preco,2.8241,"2,8241",R$/Litro,price,BRL,litro,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),Brasil,,variacao_pct,1.83,"+1,83",%,change_pct,,pct,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),ES,,preco,2.6594,"2,6594",R$/Litro,price,BRL,litro,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),ES,,variacao_pct,3.97,"+3,97",%,change_pct,,pct,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),GO,,preco,2.7081,"2,7081",R$/Litro,price,BRL,litro,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),GO,,variacao_pct,0.34,"+0,34",%,change_pct,,pct,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),MG,,preco,2.9432,"2,9432",R$/Litro,price,BRL,litro,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),MG,,variacao_pct,2.65,"+2,65",%,change_pct,,pct,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),PR,,preco,2.8924,"2,8924",R$/Litro,price,BRL,litro,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),PR,,variacao_pct,1.91,"+1,91",%,change_pct,,pct,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),RS,,preco,2.7168,"2,7168",R$/Litro,price,BRL,litro,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),RS,,variacao_pct,1.25,"+1,25",%,change_pct,,pct,spot,,,physical
2025-05-05,leite,leite-precos-ao-produtor-cepea-rs-litro,Leite - Preços ao Produtor (R$/Litro),SC,,preco,2.7192,"2,7192",R$/Litro,price,BRL,litro,spot,,,physical
