date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2020-01-01,algodao,indice-cotlook,Índice Cotlook A,,,valor,7835.0,78.35,Pontos,price,,points,spot,,,indicator
2020-01-01,algodao,indice-cotlook,Índice Cotlook A,,,variacao_pontos,50.0,+0.50,%,change_abs,,pct,spot,,,indicator
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,"Dólar: 4,022",arroba,,,¢/lb,price,USD,lb,spot,,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,"Dólar: 4,022",investing,,,¢/lb,index,USD,lb,spot,,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,"Dólar: 4,022",variacao_pontos,,,%,change_abs,,pct,spot,,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,Julho/20,arroba,94.88,"94,88",¢/lb,price,USD,lb,futures,2020-07,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,Julho/20,investing,71.34,"71,34",¢/lb,index,USD,lb,futures,2020-07,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,Julho/20,variacao_pontos,0.39,"+0,39",%,change_abs,,pct,futures,2020-07,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,Maio/20,arroba,93.7,"93,70",¢/lb,price,USD,lb,futures,2020-05,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,Maio/20,investing,70.45,"70,45",¢/lb,index,USD,lb,futures,2020-05,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,Maio/20,variacao_pontos,0.27,"+0,27",%,change_abs,,pct,futures,2020-05,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,Março/20,arroba,92.13,"92,13",¢/lb,price,USD,lb,futures,2020-03,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,Março/20,investing,69.27,"69,27",¢/lb,index,USD,lb,futures,2020-03,,nybot
2020-01-02,algodao,algodao-bolsa-de-nova-iorque-nybot,Algodão - Bolsa de Nova Iorque (NYBOT),,Março/20,variacao_pontos,0.22,"+0,22",%,change_abs,,pct,futures,2020-03,,nybot
2020-01-02,algodao,algodao-indicador-cepea-esalq-a-prazo,Algodão - Indicador Cepea/Esalq,,,valor_cent_lb,268.89,"268,89",8 dias,price,,,spot,,,indicator
2020-01-02,algodao,algodao-indicador-cepea-esalq-a-prazo,Algodão - Indicador Cepea/Esalq,,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,indicator
