date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,preco,7.0,"7,00",R$,price,BRL,,spot,,,physical
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,preco,154.0,"154,00",R$,price,BRL,,spot,,,physical
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,variacao_pct,14.96,"+14,96",%,change_pct,,pct,spot,,,physical
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,preco,8.0,"8,00",R$,price,BRL,,spot,,,physical
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,preco,176.15,"176,15",R$,price,BRL,,spot,,,physical
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,variacao_pct,3.75,"+3,75",%,change_pct,,pct,spot,,,physical
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,preco,,s/cotação,R$,price,BRL,,spot,,,physical
2020-01-03,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,variacao_pct,,-,%,change_pct,,pct,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,preco,7.0,"7,00",R$,price,BRL,,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,preco,154.0,"154,00",R$,price,BRL,,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,preco,8.0,"8,00",R$,price,BRL,,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,preco,174.82,"174,82",R$,price,BRL,,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,variacao_pct,-0.76,"-0,76",%,change_pct,,pct,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,preco,,s/cotação,R$,price,BRL,,spot,,,physical
2020-01-06,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,variacao_pct,,-,%,change_pct,,pct,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,preco,7.0,"7,00",R$,price,BRL,,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,preco,149.28,"149,28",R$,price,BRL,,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,variacao_pct,-3.06,"-3,06",%,change_pct,,pct,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,preco,8.0,"8,00",R$,price,BRL,,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,preco,178.58,"178,58",R$,price,BRL,,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,variacao_pct,2.15,"+2,15",%,change_pct,,pct,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,preco,400.0,"400,00",R$,price,BRL,,spot,,,physical
2020-01-07,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,variacao_pct,,-,%,change_pct,,pct,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,preco,7.0,"7,00",R$,price,BRL,,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,preco,149.28,"149,28",R$,price,BRL,,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,preco,8.0,"8,00",R$,price,BRL,,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,preco,176.04,"176,04",R$,price,BRL,,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,variacao_pct,-1.42,"-1,42",%,change_pct,,pct,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,preco,400.0,"400,00",R$,price,BRL,,spot,,,physical
2020-01-08,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,preco,7.0,"7,00",R$,price,BRL,,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,preco,149.28,"149,28",R$,price,BRL,,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,preco,8.0,"8,00",R$,price,BRL,,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,preco,176.04,"176,04",R$,price,BRL,,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,preco,400.0,"400,00",R$,price,BRL,,spot,,,physical
2020-01-09,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,preco,7.0,"7,00",R$,price,BRL,,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,preco,149.28,"149,28",R$,price,BRL,,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,preco,8.0,"8,00",R$,price,BRL,,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,preco,178.58,"178,58",R$,price,BRL,,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,variacao_pct,1.44,"+1,44",%,change_pct,,pct,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,preco,400.0,"400,00",R$,price,BRL,,spot,,,physical
2020-01-10,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,preco,7.0,"7,00",R$,price,BRL,,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,preco,149.28,"149,28",R$,price,BRL,,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / saca 25 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,preco,8.0,"8,00",R$,price,BRL,,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,preco,178.58,"178,58",R$,price,BRL,,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 25 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,preco,400.0,"400,00",R$,price,BRL,,spot,,,physical
2020-01-13,amendoim,amendoim-ceasas,Amendoim - Ceasas,Sem casca / saca 50 kg,,variacao_pct,,-,%,change_pct,,pct,spot,,,physical
2020-01-14,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,preco,7.0,"7,00",R$,price,BRL,,spot,,,physical
2020-01-14,amendoim,amendoim-ceasas,Amendoim - Ceasas,Com casca / kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
