date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2020-01-02,arroz,arroz-em-casca-esalq-bbm,Indicador Arroz em Casca - Esalq/Senar-RS,,,valor_saca_de_50_kg,48.05,"48,05",R$,price,BRL,,spot,,,indicator
2020-01-02,arroz,arroz-em-casca-esalq-bbm,Indicador Arroz em Casca - Esalq/Senar-RS,,,variacao_pct,0.02,"0,02",%,change_pct,,pct,spot,,,indicator
2020-01-03,arroz,arroz-em-casca-esalq-bbm,Indicador Arroz em Casca - Esalq/Senar-RS,,,valor_saca_de_50_kg,48.09,"48,09",R$,price,BRL,,spot,,,indicator
2020-01-03,arroz,arroz-em-casca-esalq-bbm,Indicador Arroz em Casca - Esalq/Senar-RS,,,variacao_pct,0.08,"0,08",%,change_pct,,pct,spot,,,indicator
2020-01-06,arroz,arroz-atacado-media-pr,Arroz Atacado - Média PR,Agulhinha em casca,,sc,64.15,"64,15",R$,price,BRL,,spot,,,physical
2020-01-06,arroz,arroz-atacado-media-pr,Arroz Atacado - Média PR,Agulhinha em casca,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-06,arroz,arroz-em-casca-esalq-bbm,Indicador Arroz em Casca - Esalq/Senar-RS,,,valor_saca_de_50_kg,48.08,"48,08",R$,price,BRL,,spot,,,indicator
2020-01-06,arroz,arroz-em-casca-esalq-bbm,Indicador Arroz em Casca - Esalq/Senar-RS,,,variacao_pct,-0.02,"-0,02",%,change_pct,,pct,spot,,,indicator
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Capivari do Sul/RS (Coripil),,preco,51.4,"51,40",R$/sc 50 kg,price,BRL,sc50kg,spot,,RS,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Capivari do Sul/RS (Coripil),,variacao_pct,,-,%,change_pct,,pct,spot,,RS,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Guaratinguetá/SP (IEA),,preco,,s/ cotação,R$/sc 50 kg,price,BRL,sc50kg,spot,,SP,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Guaratinguetá/SP (IEA),,variacao_pct,,-,%,change_pct,,pct,spot,,SP,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Média Rio Grande do Sul (Clicmercado),,preco,49.0,"49,00",R$/sc 50 kg,price,BRL,sc50kg,spot,,,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Média Rio Grande do Sul (Clicmercado),,variacao_pct,,-,%,change_pct,,pct,spot,,,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Oeste da Bahia (AIBA),,preco,48.0,"48,00",R$/sc 50 kg,price,BRL,sc50kg,spot,,,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Oeste da Bahia (AIBA),,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Pelotas/RS (Cereagro),,preco,52.0,"52,00",R$/sc 50 kg,price,BRL,sc50kg,spot,,RS,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Pelotas/RS (Cereagro),,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,RS,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Pindamonhangaba/SP (IEA),,preco,60.57,"60,57",R$/sc 50 kg,price,BRL,sc50kg,spot,,SP,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Pindamonhangaba/SP (IEA),,variacao_pct,,-,%,change_pct,,pct,spot,,SP,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Rio do Sul/SC (Cravil),,preco,43.5,"43,50",R$/sc 50 kg,price,BRL,sc50kg,spot,,SC,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Rio do Sul/SC (Cravil),,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,SC,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Sorriso/MT (Sindicato Rural),,preco,73.0,"73,00",R$/sc 50 kg,price,BRL,sc50kg,spot,,MT,physical
2020-01-06,arroz,arroz-mercado-fisico,Arroz - Mercado Físico,Sorriso/MT (Sindicato Rural),,variacao_pct,,-,%,change_pct,,pct,spot,,MT,physical
2020-01-07,arroz,arroz-atacado-media-pr,Arroz Atacado - Média PR,Agulhinha em casca,,sc,64.15,"64,15",R$,price,BRL,,spot,,,physical
