date,location,state,physical_indicator,physical_price_brl,futures_indicator,futures_contract,futures_price_raw,futures_price_brl,ptax,basis_brl,basis_usd,basis_pct
2020-01-02,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,84.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,92.13,122.51592605171699,4.0213,-37.535926051716984,-9.334276490616713,-30.6375891374907
2020-01-03,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,84.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,92.77,124.314970377642,4.0522,-39.334970377641994,-9.707065391057203,-31.64137855493257
2020-01-06,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,84.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,94.13,126.23702687778598,4.0554,-41.257026877785975,-10.17335574241406,-32.682191507669295
2020-01-06,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,75.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,94.13,126.23702687778598,4.0554,-51.23702687778598,-12.634272051532767,-40.58795437838547
2020-01-07,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,84.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,93.82,126.71172345156599,4.0841,-41.73172345156598,-10.218095406960158,-32.9343823245506
2020-01-07,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,75.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,93.82,126.71172345156599,4.0841,-51.71172345156599,-12.661718236959423,-40.81052805767587
2020-01-08,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,84.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,93.74,126.07979095430397,4.0672,-41.09979095430397,-10.105180702769466,-32.598238498983605
2020-01-08,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,70.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,93.74,126.07979095430397,4.0672,-56.079790954303974,-13.788304227553102,-44.47960337642802
2020-01-09,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,84.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,95.47,128.63394463682397,4.0744,-43.653944636823965,-10.714202001969362,-33.936566868157115
2020-01-09,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,70.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,95.47,128.63394463682397,4.0744,-58.63394463682397,-14.390816963681516,-45.5820155421393
2020-01-10,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,84.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.31,129.76892501083498,4.0745,-44.78892501083497,-10.992496014439803,-34.51436852628266
2020-01-10,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,70.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.31,129.76892501083498,4.0745,-59.76892501083498,-14.669020741400168,-46.05796418968918
2020-01-13,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,86.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.83,133.64162179127098,4.1309,-46.661621791270974,-11.295751964770625,-34.915486033347996
2020-01-13,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,70.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.83,133.64162179127098,4.1309,-63.64162179127098,-15.406236362843687,-47.62110855753461
2020-01-14,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,86.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.49,133.609167580251,4.1443,-46.62916758025101,-11.251397722233188,-34.8996767398043
2020-01-14,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,70.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.49,133.609167580251,4.1443,-63.60916758025101,-15.3485914582079,-47.60838551145437
2020-01-15,Estado de São Paulo,,algodo-em-pluma-ao-produtor,85.97,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.13,133.690742598798,4.1622,-47.72074259879801,-11.465268992071023,-35.69487435791015
2020-01-15,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,86.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.13,133.690742598798,4.1622,-46.71074259879801,-11.22260886040988,-34.939399460870355
2020-01-15,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,70.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.13,133.690742598798,4.1622,-63.69074259879801,-15.302182162990247,-47.6403536705096
2020-01-16,Estado de São Paulo,,algodo-em-pluma-ao-produtor,85.97,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.48,134.507740158264,4.1726,-48.537740158264,-11.632492967996932,-36.085462517735934
2020-01-16,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,86.98,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.48,134.507740158264,4.1726,-47.527740158263995,-11.390437654762977,-35.33457636143621
2020-01-16,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,70.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.48,134.507740158264,4.1726,-64.507740158264,-15.45984282180511,-47.958385206950275
2020-01-17,Estado de São Paulo,,algodo-em-pluma-ao-produtor,85.97,algodao-bolsa-de-nova-iorque-nybot,2020-03,98.06,135.66800102004598,4.1837,-49.69800102004598,-11.878959060173047,-36.6320728885087
2020-01-17,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,94.32,algodao-bolsa-de-nova-iorque-nybot,2020-03,98.06,135.66800102004598,4.1837,-41.348001020045984,-9.88311805818916,-30.47734226874656
2020-01-17,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,70.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,98.06,135.66800102004598,4.1837,-65.66800102004598,-15.696154365763793,-48.403455882233445
2020-01-21,Estado de São Paulo,,algodo-em-pluma-ao-produtor,85.97,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.35,133.86614348876998,4.2014,-47.89614348876998,-11.400043673244628,-35.77913148203002
2020-01-21,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,91.26,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.35,133.86614348876998,4.2014,-42.60614348876997,-10.140939565090203,-31.82742281086494
2020-01-21,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,70.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.35,133.86614348876998,4.2014,-63.86614348876998,-15.201157587654112,-47.70895898269282
2020-01-22,Estado de São Paulo,,algodo-em-pluma-ao-produtor,85.97,algodao-bolsa-de-nova-iorque-nybot,2020-03,98.27,136.127525729679,4.1889,-50.15752572967901,-11.973913373362699,-36.84598354434315
2020-01-22,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,91.26,algodao-bolsa-de-nova-iorque-nybot,2020-03,98.27,136.127525729679,4.1889,-44.867525729679,-10.711052001642196,-32.95992158028097
2020-01-22,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,98.27,136.127525729679,4.1889,-64.12752572967901,-15.308917789796606,-47.10841939272661
2020-01-23,Estado de São Paulo,,algodo-em-pluma-ao-produtor,85.97,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.55,133.02013820072997,4.1662,-47.050138200729975,-11.29329801755316,-35.37068810568397
2020-01-23,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,90.92,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.55,133.02013820072997,4.1662,-42.10013820072997,-10.105164946649218,-31.649447046281104
2020-01-23,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.55,133.02013820072997,4.1662,-61.020138200729974,-14.646473573215394,-45.8728573177765
2020-01-24,Estado de São Paulo,,algodo-em-pluma-ao-produtor,85.97,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.07,132.698761814619,4.1769,-46.72876181461899,-11.1874265159853,-35.21416566033929
2020-01-24,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,90.92,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.07,132.698761814619,4.1769,-41.77876181461899,-10.00233709560176,-31.483912316366734
2020-01-24,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.07,132.698761814619,4.1769,-60.69876181461899,-14.532012213512173,-45.74176954221739
2020-01-27,Estado de São Paulo,,algodo-em-pluma-ao-produtor,85.97,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.7,134.93442407676,4.2196,-48.96442407676,-11.604044003403166,-36.2875703600333
2020-01-27,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,90.92,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.7,134.93442407676,4.2196,-44.014424076759994,-10.43094702738648,-32.6191217533352
2020-01-27,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.7,134.93442407676,4.2196,-62.934424076759996,-14.91478435793914,-46.64074753893681
2020-01-28,Estado de São Paulo,,algodo-em-pluma-ao-produtor,85.97,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.56,135.708597554112,4.2064,-49.738597554112005,-11.824504933936858,-36.6510290803642
2020-01-28,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,94.32,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.56,135.708597554112,4.2064,-41.38859755411201,-9.839434564975278,-30.49813961684252
2020-01-28,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.56,135.708597554112,4.2064,-63.708597554112,-15.145634641049828,-46.94514474568131
2020-01-29,Estado de São Paulo,,algodo-em-pluma-ao-produtor,90.62,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.72,135.766353747948,4.2013,-45.146353747947984,-10.745805762013658,-33.25297653037275
2020-01-29,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,94.32,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.72,135.766353747948,4.2013,-41.446353747947995,-9.865125972424725,-30.52770631587683
2020-01-29,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.72,135.766353747948,4.2013,-63.76635374794799,-15.177767297728796,-46.96771474494414
2020-01-30,Estado de São Paulo,,algodo-em-pluma-ao-produtor,90.62,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.25,136.753518319275,4.2523,-46.133518319275,-10.849074223190978,-33.734794458134694
2020-01-30,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,94.66,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.25,136.753518319275,4.2523,-42.093518319275006,-9.899000145632954,-30.780574303763302
2020-01-30,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.25,136.753518319275,4.2523,-64.753518319275,-15.22788098658961,-47.35053190229197
2020-01-31,Estado de São Paulo,,algodo-em-pluma-ao-produtor,90.62,algodao-bolsa-de-nova-iorque-nybot,2020-03,95.54,134.89233016479,4.2695,-44.27233016478999,-10.369441425176248,-32.82049476846096
2020-01-31,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,94.66,algodao-bolsa-de-nova-iorque-nybot,2020-03,95.54,134.89233016479,4.2695,-40.23233016479,-9.42319479208104,-29.825513515587236
2020-01-31,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,95.54,134.89233016479,4.2695,-62.892330164789996,-14.730607838105165,-46.62409648343842
2020-02-03,Estado de São Paulo,,algodo-em-pluma-ao-produtor,90.62,algodao-bolsa-de-nova-iorque-nybot,2020-03,93.94,131.94986353394998,4.2475,-41.329863533949975,-9.730397535950555,-31.322399604692297
2020-02-03,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,94.66,algodao-bolsa-de-nova-iorque-nybot,2020-03,93.94,131.94986353394998,4.2475,-37.28986353394998,-8.779249801989403,-28.26063061774634
2020-02-03,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,93.94,131.94986353394998,4.2475,-59.94986353394998,-14.114152686038842,-45.433820034626414
2020-02-04,Estado de São Paulo,,algodo-em-pluma-ao-produtor,90.62,algodao-bolsa-de-nova-iorque-nybot,2020-03,94.77,132.821103012741,4.2381,-42.20110301274099,-9.95755244395861,-31.77289004194823
2020-02-04,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,98.06,algodao-bolsa-de-nova-iorque-nybot,2020-03,94.77,132.821103012741,4.2381,-34.76110301274099,-8.202048798457088,-26.17137053093626
2020-02-04,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,94.77,132.821103012741,4.2381,-60.82110301274099,-14.351030653533655,-45.79174666762606
2020-02-05,Estado de São Paulo,,algodo-em-pluma-ao-produtor,91.11,algodao-bolsa-de-nova-iorque-nybot,2020-03,94.79,133.062288661203,4.2449,-41.95228866120301,-9.882986327405359,-31.528308345890526
2020-02-05,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,98.06,algodao-bolsa-de-nova-iorque-nybot,2020-03,94.79,133.062288661203,4.2449,-35.00228866120301,-8.245727499164412,-26.30519060913209
2020-02-05,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,94.79,133.062288661203,4.2449,-61.06228866120301,-14.38485916304342,-45.89000330264645
2020-02-06,Estado de São Paulo,,algodo-em-pluma-ao-produtor,91.11,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.14,135.046382837454,4.2477,-43.93638283745399,-10.343570129117873,-32.53429074834028
2020-02-06,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,98.06,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.14,135.046382837454,4.2477,-36.98638283745399,-8.707390549580712,-27.387910775790232
2020-02-06,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.14,135.046382837454,4.2477,-63.04638283745399,-14.842475419039477,-46.684984457035455
2020-02-07,Estado de São Paulo,,algodo-em-pluma-ao-produtor,91.11,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.83,137.93367334124397,4.3076,-46.823673341243975,-10.870014240236785,-33.94651371707005
2020-02-07,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,94.66,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.83,137.93367334124397,4.3076,-43.27367334124398,-10.045889437562442,-31.372812956402708
2020-02-07,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,96.83,137.93367334124397,4.3076,-65.93367334124397,-15.306359304773883,-47.80099865688776
2020-02-10,Estado de São Paulo,,algodo-em-pluma-ao-produtor,91.11,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.57,139.37176030519498,4.3195,-48.26176030519498,-11.172996945293434,-34.628076878351706
2020-02-10,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,96.02,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.57,139.37176030519498,4.3195,-43.351760305194986,-10.036291308066904,-31.10512503412722
2020-02-10,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,72.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.57,139.37176030519498,4.3195,-67.37176030519498,-15.59712010769649,-48.33960635760424
2020-02-11,Estado de São Paulo,,algodo-em-pluma-ao-produtor,91.11,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.58,139.234380181512,4.3148,-48.124380181511995,-11.153328122163714,-34.56357554705595
2020-02-11,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,96.02,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.58,139.234380181512,4.3148,-43.214380181512,-10.015384300897376,-31.037147667965236
2020-02-11,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,75.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.58,139.234380181512,4.3148,-64.234380181512,-14.886989010269769,-46.13399370024362
2020-02-12,Estado de São Paulo,,algodo-em-pluma-ao-produtor,91.11,algodao-bolsa-de-nova-iorque-nybot,2020-03,98.68,141.515336471784,4.3366,-50.405336471784,-11.623238590551123,-35.61828543002762
2020-02-12,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,95.68,algodao-bolsa-de-nova-iorque-nybot,2020-03,98.68,141.515336471784,4.3366,-45.83533647178399,-10.569417624817596,-32.388953462243904
2020-02-12,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,75.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,98.68,141.515336471784,4.3366,-66.515336471784,-15.338130441309781,-47.00221059435925
2020-02-13,Estado de São Paulo,,algodo-em-pluma-ao-produtor,91.11,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.3,139.61030735421,4.3389,-48.500307354209994,-11.178019164813662,-34.73977550322143
2020-02-13,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,95.68,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.3,139.61030735421,4.3389,-43.93030735420999,-10.124756817214038,-31.46637822575158
2020-02-13,Sorriso/MT,MT,algodo-em-pluma-ao-produtor,75.0,algodao-bolsa-de-nova-iorque-nybot,2020-03,97.3,139.61030735421,4.3389,-64.61030735421,-14.89094179497338,-46.279038115921495
2020-02-14,Estado de São Paulo,,algodo-em-pluma-ao-produtor,91.11,algodao-bolsa-de-nova-iorque-nybot,2020-03,95.72,136.627875151548,4.3163,-45.51787515154801,-10.545577265608973,-33.315218509443596
2020-02-14,Oeste da Bahia/BA,BA,algodo-em-pluma-ao-produtor,95.68,algodao-bolsa-de-nova-iorque-nybot,2020-03,95.72,136.627875151548,4.3163,-40.947875151548004,-9.486800072179413,-29.97036666648626
