date,location,state,physical_indicator,physical_price_brl,futures_indicator,futures_contract,futures_price_raw,futures_price_brl,ptax,basis_brl,basis_usd,basis_pct
2020-06-17,Campos Gerais/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,475.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.5,564.36425,5.2499,-89.36424999999997,-17.022086134973993,-15.834498730208368
2020-06-17,Esp. Sto. do Pinhal/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,445.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.5,564.36425,5.2499,-119.36424999999997,-22.736480694870373,-21.15021459987942
2020-06-17,Franca/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.5,564.36425,5.2499,-84.36424999999997,-16.06968704165793,-14.948546085263192
2020-06-17,Guaxupé/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.5,564.36425,5.2499,-84.36424999999997,-16.06968704165793,-14.948546085263192
2020-06-17,Poços de Caldas/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,470.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.5,564.36425,5.2499,-94.36424999999997,-17.974485228290057,-16.72045137515354
2020-06-17,Varginha/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.5,564.36425,5.2499,-84.36424999999997,-16.06968704165793,-14.948546085263192
2020-06-17,Campos Gerais/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,475.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,667.15,667.15,,-192.14999999999998,,-28.801618826350893
2020-06-17,Esp. Sto. do Pinhal/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,445.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,667.15,667.15,,-222.14999999999998,,-33.29835868994979
2020-06-17,Franca/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,667.15,667.15,,-187.14999999999998,,-28.052162182417746
2020-06-17,Guaxupé/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,667.15,667.15,,-187.14999999999998,,-28.052162182417746
2020-06-17,Poços de Caldas/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,470.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,667.15,667.15,,-197.14999999999998,,-29.551075470284044
2020-06-17,Varginha/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,667.15,667.15,,-187.14999999999998,,-28.052162182417746
2020-06-18,Campos Gerais/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,475.0,cafe-arabica-4-5-b3-prego-regular,2020-09,105.25,562.7507,5.3468,-87.75070000000005,-16.41181641355578,-15.593174739720455
2020-06-18,Esp. Sto. do Pinhal/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,470.0,cafe-arabica-4-5-b3-prego-regular,2020-09,105.25,562.7507,5.3468,-92.75070000000005,-17.34695518814993,-16.481667637197084
2020-06-18,Franca/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-09,105.25,562.7507,5.3468,-82.75070000000005,-15.47667763896163,-14.704681842243831
2020-06-18,Guaxupé/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,485.0,cafe-arabica-4-5-b3-prego-regular,2020-09,105.25,562.7507,5.3468,-77.75070000000005,-14.541538864367482,-13.816188944767202
2020-06-18,Poços de Caldas/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,475.0,cafe-arabica-4-5-b3-prego-regular,2020-09,105.25,562.7507,5.3468,-87.75070000000005,-16.41181641355578,-15.593174739720455
2020-06-18,Varginha/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-09,105.25,562.7507,5.3468,-82.75070000000005,-15.47667763896163,-14.704681842243831
2020-06-18,Campos Gerais/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,475.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,669.48,669.48,,-194.48000000000002,,-29.049411483539465
2020-06-18,Esp. Sto. do Pinhal/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,470.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,669.48,669.48,,-199.48000000000002,,-29.796259783712735
2020-06-18,Franca/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,669.48,669.48,,-189.48000000000002,,-28.302563183366196
2020-06-18,Guaxupé/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,485.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,669.48,669.48,,-184.48000000000002,,-27.555714883192927
2020-06-18,Poços de Caldas/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,475.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,669.48,669.48,,-194.48000000000002,,-29.049411483539465
2020-06-18,Varginha/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,669.48,669.48,,-189.48000000000002,,-28.302563183366196
2020-06-19,Campos Gerais/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,471.0,cafe-arabica-4-5-b3-prego-regular,2020-07,107.9,576.89814,5.3466,-105.89814000000001,-19.806632252272475,-18.35647104010424
2020-06-19,Esp. Sto. do Pinhal/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,490.0,cafe-arabica-4-5-b3-prego-regular,2020-07,107.9,576.89814,5.3466,-86.89814000000001,-16.252971982194296,-15.06299534957766
2020-06-19,Franca/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-07,107.9,576.89814,5.3466,-96.89814000000001,-18.12331949276176,-16.796403607749543
2020-06-19,Guaxupé/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-07,107.9,576.89814,5.3466,-96.89814000000001,-18.12331949276176,-16.796403607749543
2020-06-19,Poços de Caldas/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,470.0,cafe-arabica-4-5-b3-prego-regular,2020-07,107.9,576.89814,5.3466,-106.89814000000001,-19.99366700332922,-18.529811865921427
2020-06-19,Varginha/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,475.0,cafe-arabica-4-5-b3-prego-regular,2020-07,107.9,576.89814,5.3466,-101.89814000000001,-19.05849324804549,-17.663107736835485
2020-06-19,Campos Gerais/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,471.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,656.03,656.03,,-185.02999999999997,,-28.204502842857792
2020-06-19,Esp. Sto. do Pinhal/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,490.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,656.03,656.03,,-166.02999999999997,,-25.30829382802615
2020-06-19,Franca/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,656.03,656.03,,-176.02999999999997,,-26.83261436214807
2020-06-19,Guaxupé/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,656.03,656.03,,-176.02999999999997,,-26.83261436214807
2020-06-19,Poços de Caldas/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,470.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,656.03,656.03,,-186.02999999999997,,-28.356934896269987
2020-06-19,Varginha/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,475.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,656.03,656.03,,-181.02999999999997,,-27.594774629209027
2020-06-22,Campos Gerais/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,471.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.1,559.34046,5.2226,-88.34046000000001,-16.915034657067363,-15.793683153190816
2020-06-22,Esp. Sto. do Pinhal/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.1,559.34046,5.2226,-79.34046000000001,-15.191755064527248,-14.184645251659427
2020-06-22,Franca/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.1,559.34046,5.2226,-79.34046000000001,-15.191755064527248,-14.184645251659427
2020-06-22,Guaxupé/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,485.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.1,559.34046,5.2226,-74.34046000000001,-14.234377513116074,-13.290735306364216
2020-06-22,Poços de Caldas/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,475.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.1,559.34046,5.2226,-84.34046000000001,-16.149132615938424,-15.078555196954643
2020-06-22,Varginha/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-arabica-4-5-b3-prego-regular,2020-09,107.1,559.34046,5.2226,-79.34046000000001,-15.191755064527248,-14.184645251659427
2020-06-22,Campos Gerais/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,471.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,663.81,663.81,,-192.80999999999995,,-29.045961946942644
2020-06-22,Esp. Sto. do Pinhal/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,663.81,663.81,,-183.80999999999995,,-27.690152302616706
2020-06-22,Franca/SP,SP,cafe-arabica-mercado-fisico-tipo-6-7,480.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,663.81,663.81,,-183.80999999999995,,-27.690152302616706
2020-06-22,Guaxupé/MG,MG,cafe-arabica-mercado-fisico-tipo-6-7,485.0,cafe-bolsa-de-nova-iorque-nybot,2020-07,663.81,663.81,,-178.80999999999995,,-26.936924722435627
