date,location,state,physical_indicator,physical_price_brl,futures_indicator,futures_contract,futures_price_raw,futures_price_brl,ptax,basis_brl,basis_usd,basis_pct
2020-01-02,Alto Garças/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,36.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-13.100000000000001,,-26.680244399185337
2020-01-02,Assis/SP,SP,milho-mercado-fisico-sindicatos-e-cooperativas,40.3,milho-b3-prego-regular,2020-01,49.1,49.1,,-8.800000000000004,,-17.922606924643592
2020-01-02,Campo Novo do Parecis/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,35.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-14.100000000000001,,-28.716904276985744
2020-01-02,Castro/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,42.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-7.100000000000001,,-14.460285132382895
2020-01-02,Itiquira/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,36.5,milho-b3-prego-regular,2020-01,49.1,49.1,,-12.600000000000001,,-25.661914460285136
2020-01-02,Jataí/GO,GO,milho-mercado-fisico-sindicatos-e-cooperativas,40.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-9.100000000000001,,-18.53360488798371
2020-01-02,Londrina/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,38.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-11.100000000000001,,-22.606924643584524
2020-01-02,Não-Me-Toque/RS,RS,milho-mercado-fisico-sindicatos-e-cooperativas,39.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-10.100000000000001,,-20.570264765784117
2020-01-02,Oeste da Bahia/BA,BA,milho-mercado-fisico-sindicatos-e-cooperativas,47.5,milho-b3-prego-regular,2020-01,49.1,49.1,,-1.6000000000000014,,-3.258655804480654
2020-01-02,Palma Sola/SC,SC,milho-mercado-fisico-sindicatos-e-cooperativas,40.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-9.100000000000001,,-18.53360488798371
2020-01-02,Panambi/RS,RS,milho-mercado-fisico-sindicatos-e-cooperativas,39.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-10.100000000000001,,-20.570264765784117
2020-01-02,Pato Branco/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,39.2,milho-b3-prego-regular,2020-01,49.1,49.1,,-9.899999999999999,,-20.162932790224026
2020-01-02,Ponta Grossa/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,42.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-7.100000000000001,,-14.460285132382895
2020-01-02,Porto Paranaguá/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,42.5,milho-b3-prego-regular,2020-01,49.1,49.1,,-6.600000000000001,,-13.441955193482691
2020-01-02,Primavera do Leste/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,34.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-15.100000000000001,,-30.75356415478615
2020-01-02,Rio Verde/GO,GO,milho-mercado-fisico-sindicatos-e-cooperativas,40.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-9.100000000000001,,-18.53360488798371
2020-01-02,Rio do Sul/SC,SC,milho-mercado-fisico-sindicatos-e-cooperativas,40.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-9.100000000000001,,-18.53360488798371
2020-01-02,Rondonópolis/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,36.5,milho-b3-prego-regular,2020-01,49.1,49.1,,-12.600000000000001,,-25.661914460285136
2020-01-02,São Gabriel do Oeste/MS,MS,milho-mercado-fisico-sindicatos-e-cooperativas,38.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-11.100000000000001,,-22.606924643584524
2020-01-02,Tangará da Serra/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,36.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-13.100000000000001,,-26.680244399185337
2020-01-02,Ubiratã/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,38.0,milho-b3-prego-regular,2020-01,49.1,49.1,,-11.100000000000001,,-22.606924643584524
2020-01-02,Alto Garças/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,36.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,-1.187352172338315,-0.2952657529501193,-3.192892483540473
2020-01-02,Assis/SP,SP,milho-mercado-fisico-sindicatos-e-cooperativas,40.3,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,3.1126478276616822,0.7740401928882904,8.37017869203663
2020-01-02,Campo Novo do Parecis/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,35.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,-2.187352172338315,-0.5439415543078892,-5.881978803442127
2020-01-02,Castro/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,42.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,4.812647827661685,1.1967890551965,12.941625435869447
2020-01-02,Itiquira/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,36.5,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,-0.6873521723383149,-0.17092785227123442,-1.8483493235896462
2020-01-02,Jataí/GO,GO,milho-mercado-fisico-sindicatos-e-cooperativas,40.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,2.812647827661685,0.6994374524809601,7.563452796066141
2020-01-02,Londrina/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,38.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,0.8126478276616851,0.2020858497654204,2.185280156262834
2020-01-02,Não-Me-Toque/RS,RS,milho-mercado-fisico-sindicatos-e-cooperativas,39.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,1.812647827661685,0.4507616511231903,4.874366476164487
2020-01-02,Oeste da Bahia/BA,BA,milho-mercado-fisico-sindicatos-e-cooperativas,47.5,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,10.312647827661685,2.564505962664234,27.731600195328543
2020-01-02,Palma Sola/SC,SC,milho-mercado-fisico-sindicatos-e-cooperativas,40.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,2.812647827661685,0.6994374524809601,7.563452796066141
2020-01-02,Panambi/RS,RS,milho-mercado-fisico-sindicatos-e-cooperativas,39.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,1.812647827661685,0.4507616511231903,4.874366476164487
2020-01-02,Pato Branco/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,39.2,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,2.012647827661688,0.500496811394745,5.412183740144825
2020-01-02,Ponta Grossa/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,42.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,4.812647827661685,1.1967890551965,12.941625435869447
2020-01-02,Porto Paranaguá/PR,PR,milho-mercado-fisico-sindicatos-e-cooperativas,42.5,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,5.312647827661685,1.3211269558753849,14.286168595820275
2020-01-02,Primavera do Leste/MT,MT,milho-mercado-fisico-sindicatos-e-cooperativas,34.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,-3.187352172338315,-0.792617355665659,-8.571065123343779
2020-01-02,Rio Verde/GO,GO,milho-mercado-fisico-sindicatos-e-cooperativas,40.0,milho-bolsa-de-chicago-cme-group,2020-03,3.915,37.187352172338315,4.0213,2.812647827661685,0.6994374524809601,7.563452796066141
