date,location,state,physical_indicator,physical_price_brl,futures_indicator,futures_contract,futures_price_raw,futures_price_brl,ptax,basis_brl,basis_usd,basis_pct
2020-01-02,Alto Garças/MT,MT,soja-mercado-fisico-sindicatos-e-cooperativas,78.0,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,-7.010282000000004,-1.7432874940939507,-8.246393065723513
2020-01-02,Assis/SP,SP,soja-mercado-fisico-sindicatos-e-cooperativas,78.5,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,-6.510282000000004,-1.6189495934150657,-7.65822891870892
2020-01-02,Campo Novo do Parecis/MT,MT,soja-mercado-fisico-sindicatos-e-cooperativas,72.0,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,-13.010282000000004,-3.2353423022405696,-15.304362829898627
2020-01-02,Castro/PR,PR,soja-mercado-fisico-sindicatos-e-cooperativas,85.5,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,0.4897179999999963,0.12178101608932343,0.5760691394953805
2020-01-02,Itiquira/MT,MT,soja-mercado-fisico-sindicatos-e-cooperativas,77.5,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,-7.510282000000004,-1.8676253947728356,-8.834557212738106
2020-01-02,Jataí/GO,GO,soja-mercado-fisico-sindicatos-e-cooperativas,74.0,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,-11.010282000000004,-2.7379906995250303,-12.951706241840256
2020-01-02,Londrina/PR,PR,soja-mercado-fisico-sindicatos-e-cooperativas,78.0,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,-7.010282000000004,-1.7432874940939507,-8.246393065723513
2020-01-02,Não-Me-Toque/RS,RS,soja-mercado-fisico-sindicatos-e-cooperativas,77.0,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,-8.010282000000004,-1.9919632954517204,-9.422721359752698
2020-01-02,Oeste da Bahia/BA,BA,soja-mercado-fisico-sindicatos-e-cooperativas,80.0,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,-5.010282000000004,-1.2459358913784109,-5.893736477665141
2020-01-02,Palma Sola/SC,SC,soja-mercado-fisico-sindicatos-e-cooperativas,79.0,soja-b3-pregao-regular,2020-03,21.14,85.010282,4.0213,-6.010282000000004,-1.4946116927361808,-7.0700647716943275
