date,location,state,physical_indicator,physical_price_brl,futures_indicator,futures_contract,futures_price_raw,futures_price_brl,ptax,basis_brl,basis_usd,basis_pct
2020-01-02,Castro/PR,PR,trigo-mercado-fisico,52.8,trigo-bolsa-de-chicago-cme-group,2020-03,5.6025,49.668754753724905,4.0213,3.1312452462750926,0.7786649208651661,6.30425558643639
2020-01-02,Londrina/PR,PR,trigo-mercado-fisico,48.5,trigo-bolsa-de-chicago-cme-group,2020-03,5.6025,49.668754753724905,4.0213,-1.1687547537249046,-0.2906410249732436,-2.353098561701416
2020-01-02,Não-Me-Toque/RS,RS,trigo-mercado-fisico,40.0,trigo-bolsa-de-chicago-cme-group,2020-03,5.6025,49.668754753724905,4.0213,-9.668754753724905,-2.4043853365142875,-19.46647304057849
2020-01-02,Palma Sola/SC,SC,trigo-mercado-fisico,47.5,trigo-bolsa-de-chicago-cme-group,2020-03,5.6025,49.668754753724905,4.0213,-2.1687547537249046,-0.5393168263310135,-4.366436735686954
2020-01-02,Panambi/RS,RS,trigo-mercado-fisico,40.02,trigo-bolsa-de-chicago-cme-group,2020-03,5.6025,49.668754753724905,4.0213,-9.648754753724901,-2.3994118204871313,-19.42620627709877
2020-01-02,Pato Branco/PR,PR,trigo-mercado-fisico,48.5,trigo-bolsa-de-chicago-cme-group,2020-03,5.6025,49.668754753724905,4.0213,-1.1687547537249046,-0.2906410249732436,-2.353098561701416
2020-01-02,Ponta Grossa/PR,PR,trigo-mercado-fisico,52.8,trigo-bolsa-de-chicago-cme-group,2020-03,5.6025,49.668754753724905,4.0213,3.1312452462750926,0.7786649208651661,6.30425558643639
2020-01-02,Rio do Sul/SC,SC,trigo-mercado-fisico,42.0,trigo-bolsa-de-chicago-cme-group,2020-03,5.6025,49.668754753724905,4.0213,-7.668754753724905,-1.9070337337987477,-15.439796692607413
2020-01-02,Ubiratã/PR,PR,trigo-mercado-fisico,48.5,trigo-bolsa-de-chicago-cme-group,2020-03,5.6025,49.668754753724905,4.0213,-1.1687547537249046,-0.2906410249732436,-2.353098561701416
2020-01-03,Castro/PR,PR,trigo-mercado-fisico,52.8,trigo-bolsa-de-chicago-cme-group,2020-03,5.545,49.53673237677059,4.0522,3.26326762322941,0.8053076410911135,6.587571417527864
2020-01-03,Londrina/PR,PR,trigo-mercado-fisico,48.5,trigo-bolsa-de-chicago-cme-group,2020-03,5.545,49.53673237677059,4.0522,-1.036732376770587,-0.25584432574171734,-2.092855800187469
2020-01-03,Não-Me-Toque/RS,RS,trigo-mercado-fisico,40.0,trigo-bolsa-de-chicago-cme-group,2020-03,5.545,49.53673237677059,4.0522,-9.536732376770587,-2.3534703066903377,-19.251839835206162
2020-01-03,Palma Sola/SC,SC,trigo-mercado-fisico,47.0,trigo-bolsa-de-chicago-cme-group,2020-03,5.545,49.53673237677059,4.0522,-2.536732376770587,-0.6260136164973562,-5.120911806367237
2020-01-03,Panambi/RS,RS,trigo-mercado-fisico,40.02,trigo-bolsa-de-chicago-cme-group,2020-03,5.545,49.53673237677059,4.0522,-9.516732376770584,-2.3485347161469283,-19.211465755123758
2020-01-03,Pato Branco/PR,PR,trigo-mercado-fisico,48.5,trigo-bolsa-de-chicago-cme-group,2020-03,5.545,49.53673237677059,4.0522,-1.036732376770587,-0.25584432574171734,-2.092855800187469
2020-01-03,Ponta Grossa/PR,PR,trigo-mercado-fisico,52.8,trigo-bolsa-de-chicago-cme-group,2020-03,5.545,49.53673237677059,4.0522,3.26326762322941,0.8053076410911135,6.587571417527864
2020-01-03,Rio do Sul/SC,SC,trigo-mercado-fisico,42.0,trigo-bolsa-de-chicago-cme-group,2020-03,5.545,49.53673237677059,4.0522,-7.536732376770587,-1.8599112523494858,-15.214431826966468
2020-01-03,Ubiratã/PR,PR,trigo-mercado-fisico,48.5,trigo-bolsa-de-chicago-cme-group,2020-03,5.545,49.53673237677059,4.0522,-1.036732376770587,-0.25584432574171734,-2.092855800187469
2020-01-06,Castro/PR,PR,trigo-mercado-fisico,52.8,trigo-bolsa-de-chicago-cme-group,2020-03,5.5,49.17352244125589,4.0554,3.6264775587441065,0.894234245387411,7.374858213739724
2020-01-06,Londrina/PR,PR,trigo-mercado-fisico,48.5,trigo-bolsa-de-chicago-cme-group,2020-03,5.5,49.17352244125589,4.0554,-0.6735224412558907,-0.1660803968180428,-1.369685163515589
