date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2020-01-02,cafe,cafe-arabica-4-5-b3-prego-regular,Café Arábica 4/5 - B3 (Pregão Regular),,Maio/20,fechamento,147.75,"147,750",US$/sc 60 kg,price,USD,sc60kg,futures,2020-05,,b3
2020-01-02,cafe,cafe-arabica-4-5-b3-prego-regular,Café Arábica 4/5 - B3 (Pregão Regular),,Maio/20,variacao_pct,-3.59,"-3,59",%,change_pct,,pct,futures,2020-05,,b3
2020-01-02,cafe,cafe-arabica-4-5-b3-prego-regular,Café Arábica 4/5 - B3 (Pregão Regular),,Março/20,fechamento,146.3,"146,300",US$/sc 60 kg,price,USD,sc60kg,futures,2020-03,,b3
2020-01-02,cafe,cafe-arabica-4-5-b3-prego-regular,Café Arábica 4/5 - B3 (Pregão Regular),,Março/20,variacao_pct,-2.56,"-2,56",%,change_pct,,pct,futures,2020-03,,b3
2020-01-02,cafe,cafe-arabica-4-5-b3-prego-regular,Café Arábica 4/5 - B3 (Pregão Regular),,Setembro/20,fechamento,154.5,"154,500",US$/sc 60 kg,price,USD,sc60kg,futures,2020-09,,b3
2020-01-02,cafe,cafe-arabica-4-5-b3-prego-regular,Café Arábica 4/5 - B3 (Pregão Regular),,Setembro/20,variacao_pct,-3.44,"-3,44",%,change_pct,,pct,futures,2020-09,,b3
2020-01-02,cafe,cafe-arabica-mercado-fisico-tipo-6-duro,Café Arábica - Mercado Físico (Tipo 6 Duro),Araguarí/MG (Coocacer),,preco,550.0,"550,00",R$/Sc de 60 kg,price,BRL,sc60kg,spot,,MG,physical
2020-01-02,cafe,cafe-arabica-mercado-fisico-tipo-6-duro,Café Arábica - Mercado Físico (Tipo 6 Duro),Araguarí/MG (Coocacer),,variacao_pct,,-,%,change_pct,,pct,spot,,MG,physical
2020-01-02,cafe,cafe-arabica-mercado-fisico-tipo-6-duro,Café Arábica - Mercado Físico (Tipo 6 Duro),Esp. Sto. do Pinhal/SP (Coopinhal),,preco,,s/ cotação,R$/Sc de 60 kg,price,BRL,sc60kg,spot,,SP,physical
2020-01-02,cafe,cafe-arabica-mercado-fisico-tipo-6-duro,Café Arábica - Mercado Físico (Tipo 6 Duro),Esp. Sto. do Pinhal/SP (Coopinhal),,variacao_pct,,-,%,change_pct,,pct,spot,,SP,physical
