date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2020-01-02,mercado-financeiro,bolsas,Bolsas,DAX,,valor,13385.93,"13.385,93",%,price,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,DAX,,variacao_pct,1.03,"+1,03",%,change_pct,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,FTSE,,valor,7604.3,"7.604,30",%,price,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,FTSE,,variacao_pct,0.82,"+0,82",%,change_pct,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,Hong Kong,,valor,28543.52,"28.543,52",%,price,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,Hong Kong,,variacao_pct,1.25,"+1,25",%,change_pct,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,Ibovespa,,valor,118573.1,"118.573,10",%,price,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,Ibovespa,,variacao_pct,2.53,"+2,53",%,change_pct,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,Nasdaq,,valor,9092.19,"9.092,19",%,price,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,Nasdaq,,variacao_pct,1.33,"+1,33",%,change_pct,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,Nikkei,,valor,23656.62,"23.656,62",%,price,,pct,spot,,,other
2020-01-02,mercado-financeiro,bolsas,Bolsas,Nikkei,,variacao_pct,,-,%,change_pct,,pct,spot,,,other
2020-01-02,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Dólar,,valor,4.0213,"4,0213",R$,price,BRL,,spot,,,indicator
2020-01-02,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Dólar,,variacao_pct,-0.23,"-0,23",%,change_pct,,pct,spot,,,indicator
2020-01-02,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Euro,,valor,4.5051,"4,5051",R$,price,BRL,,spot,,,indicator
2020-01-02,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Euro,,variacao_pct,-0.23,"-0,23",%,change_pct,,pct,spot,,,indicator
2020-01-02,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Fevereiro/20,fechamento,4033.5,"4.033,50",R$/US$,price,BRL,usd,futures,2020-02,,b3
2020-01-02,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Fevereiro/20,variacao_pct,0.27,"+0,27",%,change_pct,,pct,futures,2020-02,,b3
2020-01-02,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Janeiro/20,fechamento,4030.5,"4.030,50",R$/US$,price,BRL,usd,futures,2020-01,,b3
2020-01-02,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Janeiro/20,variacao_pct,0.0,"0,00",%,change_pct,,pct,futures,2020-01,,b3
2020-01-02,mercado-financeiro,euro-b3,Euro Futuro,,Fevereiro/20,fechamento,4513.9,"4.513,90",R$/€,price,BRL,eur,futures,2020-02,,b3
2020-01-02,mercado-financeiro,euro-b3,Euro Futuro,,Fevereiro/20,variacao_pct,-0.05,"-0,05",%,change_pct,,pct,futures,2020-02,,b3
2020-01-02,mercado-financeiro,euro-b3,Euro Futuro,,Janeiro/20,fechamento,4524.5,"4.524,50",R$/€,price,BRL,eur,futures,2020-01,,b3
2020-01-02,mercado-financeiro,euro-b3,Euro Futuro,,Janeiro/20,variacao_pct,0.18,"+0,18",%,change_pct,,pct,futures,2020-01,,b3
2020-01-02,mercado-financeiro,indice-bovespa,Índice Bovespa Futuro,,Abril/20,pontos,119813.0,119.813,%,index,,pct,futures,2020-04,,indicator
2020-01-02,mercado-financeiro,indice-bovespa,Índice Bovespa Futuro,,Abril/20,variacao_pct,2.61,"+2,61",%,change_pct,,pct,futures,2020-04,,indicator
2020-01-02,mercado-financeiro,indice-bovespa,Índice Bovespa Futuro,,Fevereiro/20,pontos,118982.0,118.982,%,index,,pct,futures,2020-02,,indicator
2020-01-02,mercado-financeiro,indice-bovespa,Índice Bovespa Futuro,,Fevereiro/20,variacao_pct,2.61,"+2,61",%,change_pct,,pct,futures,2020-02,,indicator
2020-01-02,mercado-financeiro,indice-dolar,Índice Dólar,,Junho/20,valor,96.168,"96,168",Pontos,price,,points,futures,2020-06,,indicator
2020-01-02,mercado-financeiro,indice-dolar,Índice Dólar,,Junho/20,variacao_pontos,0.48,"+0,480",%,change_abs,,pct,futures,2020-06,,indicator
2020-01-02,mercado-financeiro,indice-dolar,Índice Dólar,,Março/20,valor,96.525,"96,525",Pontos,price,,points,futures,2020-03,,indicator
2020-01-02,mercado-financeiro,indice-dolar,Índice Dólar,,Março/20,variacao_pontos,0.467,"+0,467",%,change_abs,,pct,futures,2020-03,,indicator
2020-01-02,mercado-financeiro,indice-dolar,Índice Dólar,,Setembro/20,valor,95.831,"95,831",Pontos,price,,points,futures,2020-09,,indicator
2020-01-02,mercado-financeiro,indice-dolar,Índice Dólar,,Setembro/20,variacao_pontos,0.473,"+0,473",%,change_abs,,pct,futures,2020-09,,indicator
2020-01-02,mercado-financeiro,juros-b3,Juros Futuro,,Fevereiro/20,taxa_efetiva,4.412,"4,412",%,rate,,pct,futures,2020-02,,b3
2020-01-02,mercado-financeiro,juros-b3,Juros Futuro,,Janeiro/20,taxa_efetiva,4.4,"4,400",%,rate,,pct,futures,2020-01,,b3
2020-01-02,mercado-financeiro,juros-b3,Juros Futuro,,Março/20,taxa_efetiva,4.375,"4,375",%,rate,,pct,futures,2020-03,,b3
2020-01-03,mercado-financeiro,bolsas,Bolsas,DAX,,valor,13219.14,"13.219,14",%,price,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,DAX,,variacao_pct,-1.25,"-1,25",%,change_pct,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,FTSE,,valor,7622.4,"7.622,40",%,price,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,FTSE,,variacao_pct,0.24,"+0,24",%,change_pct,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,Hong Kong,,valor,28451.5,"28.451,50",%,price,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,Hong Kong,,variacao_pct,-0.32,"-0,32",%,change_pct,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,Ibovespa,,valor,117706.66,"117.706,66",%,price,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,Ibovespa,,variacao_pct,-0.73,"-0,73",%,change_pct,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,Nasdaq,,valor,9020.77,"9.020,77",%,price,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,Nasdaq,,variacao_pct,-0.79,"-0,79",%,change_pct,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,Nikkei,,valor,23656.62,"23.656,62",%,price,,pct,spot,,,other
2020-01-03,mercado-financeiro,bolsas,Bolsas,Nikkei,,variacao_pct,,-,%,change_pct,,pct,spot,,,other
2020-01-03,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Dólar,,valor,4.0522,"4,0522",R$,price,BRL,,spot,,,indicator
2020-01-03,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Dólar,,variacao_pct,0.77,"+0,77",%,change_pct,,pct,spot,,,indicator
2020-01-03,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Euro,,valor,4.5247,"4,5247",R$,price,BRL,,spot,,,indicator
2020-01-03,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Euro,,variacao_pct,0.44,"+0,44",%,change_pct,,pct,spot,,,indicator
2020-01-03,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Fevereiro/20,fechamento,4063.5,"4.063,50",R$/US$,price,BRL,usd,futures,2020-02,,b3
2020-01-03,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Fevereiro/20,variacao_pct,0.75,"+0,75",%,change_pct,,pct,futures,2020-02,,b3
2020-01-03,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Março/20,fechamento,4070.0,"4.070,00",R$/US$,price,BRL,usd,futures,2020-03,,b3
2020-01-03,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Março/20,variacao_pct,0.8,"+0,80",%,change_pct,,pct,futures,2020-03,,b3
2020-01-03,mercado-financeiro,euro-b3,Euro Futuro,,Fevereiro/20,fechamento,4541.8,"4.541,80",R$/€,price,BRL,eur,futures,2020-02,,b3
2020-01-03,mercado-financeiro,euro-b3,Euro Futuro,,Fevereiro/20,variacao_pct,0.62,"+0,62",%,change_pct,,pct,futures,2020-02,,b3
2020-01-03,mercado-financeiro,euro-b3,Euro Futuro,,Março/20,fechamento,4548.2,"4.548,20",R$/€,price,BRL,eur,futures,2020-03,,b3
2020-01-03,mercado-financeiro,euro-b3,Euro Futuro,,Março/20,variacao_pct,0.46,"+0,46",%,change_pct,,pct,futures,2020-03,,b3
2020-01-03,mercado-financeiro,indice-bovespa,Índice Bovespa Futuro,,Abril/20,pontos,119388.0,119.388,%,index,,pct,futures,2020-04,,indicator
2020-01-03,mercado-financeiro,indice-bovespa,Índice Bovespa Futuro,,Abril/20,variacao_pct,-0.35,"-0,35",%,change_pct,,pct,futures,2020-04,,indicator
2020-01-03,mercado-financeiro,indice-bovespa,Índice Bovespa Futuro,,Fevereiro/20,pontos,118350.0,118.350,%,index,,pct,futures,2020-02,,indicator
2020-01-03,mercado-financeiro,indice-bovespa,Índice Bovespa Futuro,,Fevereiro/20,variacao_pct,-0.53,"-0,53",%,change_pct,,pct,futures,2020-02,,indicator
2020-01-03,mercado-financeiro,indice-dolar,Índice Dólar,,Junho/20,valor,96.215,"96,215",Pontos,price,,points,futures,2020-06,,indicator
2020-01-03,mercado-financeiro,indice-dolar,Índice Dólar,,Junho/20,variacao_pontos,0.047,"+0,047",%,change_abs,,pct,futures,2020-06,,indicator
2020-01-03,mercado-financeiro,indice-dolar,Índice Dólar,,Março/20,valor,96.585,"96,585",Pontos,price,,points,futures,2020-03,,indicator
2020-01-03,mercado-financeiro,indice-dolar,Índice Dólar,,Março/20,variacao_pontos,0.06,"+0,060",%,change_abs,,pct,futures,2020-03,,indicator
2020-01-03,mercado-financeiro,indice-dolar,Índice Dólar,,Setembro/20,valor,95.826,"95,826",Pontos,price,,points,futures,2020-09,,indicator
2020-01-03,mercado-financeiro,indice-dolar,Índice Dólar,,Setembro/20,variacao_pontos,-0.005,"-0,005",%,change_abs,,pct,futures,2020-09,,indicator
2020-01-03,mercado-financeiro,juros-b3,Juros Futuro,,Abril/20,taxa_efetiva,4.334,"4,334",%,rate,,pct,futures,2020-04,,b3
2020-01-03,mercado-financeiro,juros-b3,Juros Futuro,,Fevereiro/20,taxa_efetiva,4.404,"4,404",%,rate,,pct,futures,2020-02,,b3
2020-01-03,mercado-financeiro,juros-b3,Juros Futuro,,Março/20,taxa_efetiva,4.374,"4,374",%,rate,,pct,futures,2020-03,,b3
2020-01-03,mercado-financeiro,taxa-selic,Taxa Selic,Selic - Meta,,taxa_ao_ano,4.5,"4,50%",%,rate,,pct,spot,,,indicator
2020-01-06,mercado-financeiro,bolsas,Bolsas,DAX,,valor,13126.99,"13.126,99",%,price,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,DAX,,variacao_pct,-0.7,"-0,70",%,change_pct,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,FTSE,,valor,7575.34,"7.575,34",%,price,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,FTSE,,variacao_pct,-0.62,"-0,62",%,change_pct,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,Hong Kong,,valor,28226.19,"28.226,19",%,price,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,Hong Kong,,variacao_pct,-0.79,"-0,79",%,change_pct,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,Ibovespa,,valor,116877.92,"116.877,92",%,price,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,Ibovespa,,variacao_pct,-0.7,"-0,70",%,change_pct,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,Nasdaq,,valor,9071.47,"9.071,47",%,price,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,Nasdaq,,variacao_pct,0.56,"+0,56",%,change_pct,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,Nikkei,,valor,23204.86,"23.204,86",%,price,,pct,spot,,,other
2020-01-06,mercado-financeiro,bolsas,Bolsas,Nikkei,,variacao_pct,-1.91,"-1,91",%,change_pct,,pct,spot,,,other
2020-01-06,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Dólar,,valor,4.0554,"4,0554",R$,price,BRL,,spot,,,indicator
2020-01-06,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Dólar,,variacao_pct,0.08,"+0,08",%,change_pct,,pct,spot,,,indicator
2020-01-06,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Euro,,valor,4.5384,"4,5384",R$,price,BRL,,spot,,,indicator
2020-01-06,mercado-financeiro,cambio-ptax,Câmbio - PTAX,Euro,,variacao_pct,0.3,"+0,30",%,change_pct,,pct,spot,,,indicator
2020-01-06,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Fevereiro/20,fechamento,4068.0,"4.068,00",R$/US$,price,BRL,usd,futures,2020-02,,b3
2020-01-06,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Fevereiro/20,variacao_pct,0.36,"+0,36",%,change_pct,,pct,futures,2020-02,,b3
2020-01-06,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Março/20,fechamento,4082.5,"4.082,50",R$/US$,price,BRL,usd,futures,2020-03,,b3
2020-01-06,mercado-financeiro,dolar-b3,Dólar Comercial Futuro,,Março/20,variacao_pct,0.6,"+0,60",%,change_pct,,pct,futures,2020-03,,b3
2020-01-06,mercado-financeiro,euro-b3,Euro Futuro,,Fevereiro/20,fechamento,4572.6,"4.572,60",R$/€,price,BRL,eur,futures,2020-02,,b3
2020-01-06,mercado-financeiro,euro-b3,Euro Futuro,,Fevereiro/20,variacao_pct,0.83,"+0,83",%,change_pct,,pct,futures,2020-02,,b3
2020-01-06,mercado-financeiro,euro-b3,Euro Futuro,,Março/20,fechamento,4565.2,"4.565,20",R$/€,price,BRL,eur,futures,2020-03,,b3
2020-01-06,mercado-financeiro,euro-b3,Euro Futuro,,Março/20,variacao_pct,0.38,"+0,38",%,change_pct,,pct,futures,2020-03,,b3
