date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2020-01-02,sucroenergetico,acucar-bolsa-de-nova-iorque-nybot,Açúcar - Bolsa de Nova Iorque (NYBOT),,Julho/20,fechamento_c_libra_peso,13.36,"13,36",pontos,price,,points,futures,2020-07,,nybot
2020-01-02,sucroenergetico,acucar-bolsa-de-nova-iorque-nybot,Açúcar - Bolsa de Nova Iorque (NYBOT),,Julho/20,variacao_pontos,-0.3,"-0,30",%,change_abs,,pct,futures,2020-07,,nybot
2020-01-02,sucroenergetico,acucar-bolsa-de-nova-iorque-nybot,Açúcar - Bolsa de Nova Iorque (NYBOT),,Maio/20,fechamento_c_libra_peso,13.24,"13,24",pontos,price,,points,futures,2020-05,,nybot
2020-01-02,sucroenergetico,acucar-bolsa-de-nova-iorque-nybot,Açúcar - Bolsa de Nova Iorque (NYBOT),,Maio/20,variacao_pontos,-0.3,"-0,30",%,change_abs,,pct,futures,2020-05,,nybot
2020-01-02,sucroenergetico,acucar-bolsa-de-nova-iorque-nybot,Açúcar - Bolsa de Nova Iorque (NYBOT),,Março/20,fechamento_c_libra_peso,13.13,"13,13",pontos,price,,points,futures,2020-03,,nybot
2020-01-02,sucroenergetico,acucar-bolsa-de-nova-iorque-nybot,Açúcar - Bolsa de Nova Iorque (NYBOT),,Março/20,variacao_pontos,-0.29,"-0,29",%,change_abs,,pct,futures,2020-03,,nybot
2020-01-02,sucroenergetico,acucar-cristal-cepea,Indicador do Açúcar Cristal Cepea/Esalq - SP,02/01/2020,,saca_de_50_kg,72.71,"72,71",R$,price,BRL,,spot,,,indicator
2020-01-02,sucroenergetico,acucar-cristal-cepea,Indicador do Açúcar Cristal Cepea/Esalq - SP,02/01/2020,,variacao_pct,-0.76,"-0,76",%,change_pct,,pct,spot,,,indicator
2020-01-02,sucroenergetico,acucar-cristal-empacotado,Indicador do Açúcar Cristal Empacotado Cepea/Esalq - SP,,,valor_5kg,8.1341,"8,1341",R$,price,BRL,,spot,,,other
2020-01-02,sucroenergetico,acucar-cristal-empacotado,Indicador do Açúcar Cristal Empacotado Cepea/Esalq - SP,,,variacao_pct,-0.02,"-0,02",%,change_pct,,pct,spot,,,other
2020-01-02,sucroenergetico,acucar-refinado-amorfo,Indicador do Açúcar Refinado Amorfo Cepea/Esalq - SP,02/01/2020,,valor_kg,1.9468,"1,9468",R$,price,BRL,,spot,,,other
2020-01-02,sucroenergetico,acucar-refinado-amorfo,Indicador do Açúcar Refinado Amorfo Cepea/Esalq - SP,02/01/2020,,variacao_pct,-0.02,"-0,02",%,change_pct,,pct,spot,,,other
2020-01-02,sucroenergetico,etanol-b3-prego-regular,Etanol - B3 (Pregão Regular),,Janeiro/20,fechamento,2100.0,"2100,000",R$/m³,price,BRL,m3,futures,2020-01,,b3
2020-01-02,sucroenergetico,etanol-b3-prego-regular,Etanol - B3 (Pregão Regular),,Janeiro/20,variacao_pct,0.36,"+0,36",%,change_pct,,pct,futures,2020-01,,b3
