date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2020-01-02,trigo,preco-medio-do-trigo-cepea-esalq,Preço Médio do Trigo Cepea/Esalq,Paraná,,t,876.97,"876,97",R$,price,BRL,,spot,,PR,physical
2020-01-02,trigo,preco-medio-do-trigo-cepea-esalq,Preço Médio do Trigo Cepea/Esalq,Paraná,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,PR,physical
2020-01-02,trigo,preco-medio-do-trigo-cepea-esalq,Preço Médio do Trigo Cepea/Esalq,Rio Grande do Sul,,t,814.62,"814,62",R$,price,BRL,,spot,,RS,physical
2020-01-02,trigo,preco-medio-do-trigo-cepea-esalq,Preço Médio do Trigo Cepea/Esalq,Rio Grande do Sul,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,RS,physical
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Julho/20,fechamento,5.65,"5,6500",US$ / Bushel,price,USD,bu,futures,2020-07,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Julho/20,variacao_cents,1.5,"+1,50",cents/bu,change_abs,USD,bu,futures,2020-07,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Julho/20,variacao_pct,0.27,"+0,27",%,change_pct,,pct,futures,2020-07,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Maio/20,fechamento,5.6325,"5,6325",US$ / Bushel,price,USD,bu,futures,2020-05,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Maio/20,variacao_cents,1.5,"+1,50",cents/bu,change_abs,USD,bu,futures,2020-05,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Maio/20,variacao_pct,0.27,"+0,27",%,change_pct,,pct,futures,2020-05,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Março/20,fechamento,5.6025,"5,6025",US$ / Bushel,price,USD,bu,futures,2020-03,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Março/20,variacao_cents,1.5,"+1,50",cents/bu,change_abs,USD,bu,futures,2020-03,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Março/20,variacao_pct,0.27,"+0,27",%,change_pct,,pct,futures,2020-03,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Setembro/20,fechamento,5.71,"5,7100",US$ / Bushel,price,USD,bu,futures,2020-09,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Setembro/20,variacao_cents,2.25,"+2,25",cents/bu,change_abs,USD,bu,futures,2020-09,,cme
2020-01-02,trigo,trigo-bolsa-de-chicago-cme-group,Trigo - Bolsa de Chicago,,Setembro/20,variacao_pct,0.4,"+0,40",%,change_pct,,pct,futures,2020-09,,cme
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Almirante Tamandaré/RS (BCSP),,preco,,s/ cotação,R$/sc,price,BRL,sc60kg,spot,,RS,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Almirante Tamandaré/RS (BCSP),,variacao_pct,,-,%,change_pct,,pct,spot,,RS,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Bom Progresso/RS (BCSP),,preco,,s/ cotação,R$/sc,price,BRL,sc60kg,spot,,RS,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Bom Progresso/RS (BCSP),,variacao_pct,,-,%,change_pct,,pct,spot,,RS,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Cascavel/PR (Coopavel),,preco,,s/cotação,R$/sc,price,BRL,sc60kg,spot,,PR,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Cascavel/PR (Coopavel),,variacao_pct,,-,%,change_pct,,pct,spot,,PR,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Castro/PR (Castrolanda),,preco,52.8,"52,80",R$/sc,price,BRL,sc60kg,spot,,PR,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Castro/PR (Castrolanda),,variacao_pct,,-,%,change_pct,,pct,spot,,PR,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Londrina/PR (Integrada),,preco,48.5,"48,50",R$/sc,price,BRL,sc60kg,spot,,PR,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Londrina/PR (Integrada),,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,PR,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Não-Me-Toque/RS (Cotrijal),,preco,40.0,"40,00",R$/sc,price,BRL,sc60kg,spot,,RS,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Não-Me-Toque/RS (Cotrijal),,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,RS,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Palma Sola/SC (Coopertradição),,preco,47.5,"47,50",R$/sc,price,BRL,sc60kg,spot,,SC,physical
2020-01-02,trigo,trigo-mercado-fisico,Trigo - Mercado Físico,Palma Sola/SC (Coopertradição),,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,SC,physical
